Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-07 00:00:00+05:30,2864.911301067923,2881.2182186877626,2843.6376853583197,2875.811767578125,2491268,0.0,0.0
2021-04-08 00:00:00+05:30,2874.5816745617008,2931.721677267056,2871.1093634748245,2916.2060546875,2578118,0.0,0.0
2021-04-09 00:00:00+05:30,2948.4241211892822,2948.731883972365,2907.986581065637,2920.513427734375,2911129,0.0,0.0
2021-04-12 00:00:00+05:30,2920.5136164862206,2934.4470730375683,2824.650224965105,2853.967529296875,3791828,0.0,0.0
2021-04-13 00:00:00+05:30,2825.35319397879,2825.35319397879,2701.44734620822,2728.69873046875,8654596,0.0,0.0
2021-04-15 00:00:00+05:30,2778.147294061527,2845.7922313533463,2714.1064439685506,2829.705078125,6062760,0.0,0.0
2021-04-16 00:00:00+05:30,2838.539556337448,2854.3629419100944,2797.7504704864327,2808.78271484375,3224657,0.0,0.0
2021-04-19 00:00:00+05:30,2785.7951320593206,2803.3766728107203,2755.9945063330647,2779.4658203125,2679106,0.0,0.0
2021-04-20 00:00:00+05:30,2835.0232125941484,2835.330975379309,2748.3023558299074,2764.301513671875,3141893,0.0,0.0
2021-04-22 00:00:00+05:30,2767.3342876746483,2767.3342876746483,2729.753747395712,2741.665283203125,1988980,0.0,0.0
2021-04-23 00:00:00+05:30,2729.5346312239963,2741.841711686842,2717.2715475436366,2733.490478515625,1615309,0.0,0.0
2021-04-26 00:00:00+05:30,2726.9408872803356,2771.7298181062615,2714.633809115576,2725.842041015625,2490260,0.0,0.0
2021-04-27 00:00:00+05:30,2730.4127998595645,2756.873099897442,2727.775569209346,2753.268798828125,1471417,0.0,0.0
2021-04-28 00:00:00+05:30,2769.048966240201,2769.9720401515624,2735.688032037976,2746.324951171875,1639037,0.0,0.0
2021-04-29 00:00:00+05:30,2765.2245045336585,2775.5536585645473,2729.9734334404593,2738.54443359375,1621395,0.0,0.0
2021-04-30 00:00:00+05:30,2724.2586864491636,2753.312214234768,2654.8116273238056,2668.569091796875,3072305,0.0,0.0
2021-05-03 00:00:00+05:30,2659.119675274267,2685.5799762724573,2640.7470535916405,2669.756591796875,1545831,0.0,0.0
2021-05-04 00:00:00+05:30,2692.4365953242295,2716.347442509376,2667.9982161863936,2680.964599609375,1990777,0.0,0.0
2021-05-05 00:00:00+05:30,2698.765922236356,2724.6106957094466,2683.294083870649,2721.358154296875,1939289,0.0,0.0
2021-05-06 00:00:00+05:30,2729.973879985396,2755.0275768392307,2702.282951883789,2735.204345703125,1791671,0.0,0.0
2021-05-07 00:00:00+05:30,2754.148052135079,2777.751353813853,2735.5116639367457,2754.06005859375,1912540,0.0,0.0
2021-05-10 00:00:00+05:30,2765.5327488295966,2781.575907001054,2747.1161252496127,2765.13720703125,2137153,0.0,0.0
2021-05-11 00:00:00+05:30,2747.115802604657,2749.8410273282093,2717.358958383474,2745.006103515625,2415625,0.0,0.0
2021-05-12 00:00:00+05:30,2742.720290729441,2742.720290729441,2699.2939719735896,2714.23828125,1978558,0.0,0.0
2021-05-14 00:00:00+05:30,2723.8200362366615,2723.8200362366615,2672.3940326478782,2682.50341796875,2043935,0.0,0.0
2021-05-17 00:00:00+05:30,2685.580002093259,2703.337313029576,2668.8775405417787,2698.54638671875,2890462,0.0,0.0
2021-05-18 00:00:00+05:30,2725.13907787278,2746.236928798247,2705.7993811911024,2715.29345703125,2098538,0.0,0.0
2021-05-19 00:00:00+05:30,2711.073583762573,2740.962203038814,2696.217267675573,2709.3154296875,1986041,0.0,0.0
2021-05-20 00:00:00+05:30,2696.2166289916227,2715.292553263747,2683.030476552131,2689.97509765625,2329027,0.0,0.0
2021-05-21 00:00:00+05:30,2690.854823863694,2714.7656764673193,2685.668355166535,2707.996826171875,1685566,0.0,0.0
2021-05-24 00:00:00+05:30,2708.875244140625,2729.5335495883955,2700.52401427876,2708.875244140625,1652260,0.0,0.0
2021-05-25 00:00:00+05:30,2731.401886201931,2763.4243048225067,2722.65653952181,2750.836181640625,1841613,15.0,0.0
2021-05-26 00:00:00+05:30,2756.1362259082634,2795.888190705017,2741.8255617150744,2790.146240234375,1923753,0.0,0.0
2021-05-27 00:00:00+05:30,2793.193674959177,2842.4861513917554,2793.06125468533,2809.138671875,5959785,0.0,0.0
2021-05-28 00:00:00+05:30,2817.530802754791,2825.0395068850357,2769.960867380018,2776.98388671875,1763701,0.0,0.0
2021-05-31 00:00:00+05:30,2782.637645424478,2800.6144542582383,2763.7334632434854,2790.720458984375,1652799,0.0,0.0
