Date,Open,High,Low,Close,Volume
2021-05-04 18:30:00,663.4966044678988,667.5694485790882,654.3563354718063,664.2543334960938,14421612
2021-05-05 18:30:00,666.6222341637894,668.1377499432683,660.6550389228186,663.44921875,11477044
2021-05-06 18:30:00,669.1558196668091,674.838872933729,667.877155806155,670.00830078125,12048334
2021-05-09 18:30:00,675.8098094461626,677.2305728857831,669.0848856230303,672.4236450195312,11060050
2021-05-10 18:30:00,661.128612382698,674.4837660986876,660.678727067445,664.7042236328125,14519034
2021-05-11 18:30:00,662.9045297636991,667.0957702739445,657.7424111292165,662.7861328125,13774926
2021-05-13 18:30:00,660.3470741757243,662.5019215839199,654.6640211195654,656.795166015625,10604142
2021-05-16 18:30:00,660.726040338843,683.1977586511666,654.1668607756777,682.0848388671875,15120692
2021-05-17 18:30:00,690.9409834750115,702.2123976389103,689.0703345571502,699.34716796875,22165280
2021-05-18 18:30:00,696.2687468484748,700.3652928007363,687.9099685903982,690.585693359375,10130916
2021-05-19 18:30:00,690.656712419775,694.2323232056198,676.5201290556131,678.5565795898438,10684184
2021-05-20 18:30:00,683.3871869956029,711.2815196347564,683.3871869956029,709.10302734375,19341646
2021-05-23 18:30:00,711.9208569498711,720.066543946563,709.6713149106149,715.0938720703125,22146102
2021-05-24 18:30:00,715.3543770125982,716.8935373735985,696.41086487721,700.4126586914062,19236974
2021-05-25 18:30:00,700.9100004512399,704.225115318239,696.1741220698126,699.512939453125,12283990
2021-05-26 18:30:00,697.6421913176409,705.1722490585071,692.5984695791637,702.1649780273438,20439496
2021-05-27 18:30:00,706.0720111591569,716.5382892146984,700.3179082460247,712.0155029296875,17750020
2021-05-30 18:30:00,710.3817063881385,719.6166685711843,704.461858834904,717.8880615234375,15661054
2021-05-31 18:30:00,719.9955084849281,723.1685234134856,713.8151649737893,715.922607421875,11030162
2021-06-01 18:30:00,715.1175275762031,715.2122220051217,707.0665355438882,712.2760009765625,10624016
2021-06-02 18:30:00,714.1704631518745,722.1977539203226,704.5803093860752,720.114013671875,10287260
2021-06-03 18:30:00,717.959185353156,720.1613804324387,710.0028862960756,710.8316650390625,9424476
2021-06-06 18:30:00,715.1176582521152,717.0120096647036,708.4874283080559,710.3107299804688,8091668
2021-06-07 18:30:00,708.7478666456698,710.9974087636919,701.6203469157421,702.3544311523438,9872540
2021-06-08 18:30:00,702.7569063699707,711.3288334802004,697.1449028344755,701.052001953125,10223442
2021-06-09 18:30:00,701.9044590603982,705.1722264064853,697.90266531903,701.4072265625,11483540
2021-06-10 18:30:00,706.1194312271526,708.7478667213167,701.4072555985663,703.917236328125,7205974
2021-06-13 18:30:00,700.0811928397461,703.7514984338662,692.645887212192,700.6494750976562,8881964
2021-06-14 18:30:00,703.7515338961059,708.4874123207096,698.4473731849562,705.7642822265625,7569602
2021-06-15 18:30:00,704.6986500319072,707.540176846552,700.0101192255411,703.0884399414062,7702098
2021-06-16 18:30:00,694.279801213809,700.3180464153616,691.4382740601372,694.3271484375,9283802
2021-06-17 18:30:00,695.9372691383855,705.6458189970701,689.0702460676088,700.8152465820312,11938060
2021-06-20 18:30:00,692.0774164661676,706.498197506116,690.9644968648092,705.030029296875,7260472
2021-06-21 18:30:00,708.960992086573,714.17045829429,700.909998856465,702.7096557617188,14366824
2021-06-22 18:30:00,705.645854671328,709.3398628067645,700.2469419391567,703.5147094726562,7844868
2021-06-23 18:30:00,705.6458121272044,716.7514227574198,704.6986365404565,713.3416137695312,14785024
2021-06-24 18:30:00,715.6385466601647,720.8006654850395,713.6968481510871,717.5328979492188,10383176
2021-06-27 18:30:00,719.853429837146,721.2741931855088,712.749613095332,714.3361206054688,9356786
2021-06-28 18:30:00,716.7857178673613,717.3564596471477,709.722512551715,714.4313354492188,10971692
2021-06-29 18:30:00,712.5050106362283,717.7370233979096,710.6500126812062,712.4574584960938,9679022
2021-06-30 18:30:00,714.4075862665787,714.4075862665787,705.3704729915687,707.1541137695312,16911442
2021-07-01 18:30:00,706.3216487952071,708.3431080594358,702.5165490037177,704.1337280273438,14827036
2021-07-04 18:30:00,708.6761686783403,715.5967184924388,706.1077722693227,711.2921752929688,7373882
2021-07-05 18:30:00,712.0294247765438,732.4818397834853,711.5537872182427,729.9609375,17669032
2021-07-06 18:30:00,729.6278903585783,735.0263641150248,726.6313510263612,732.243896484375,9629190
2021-07-07 18:30:00,725.3471571573934,731.3877299302179,719.853521037715,723.1829833984375,8420922
2021-07-08 18:30:00,719.4255920989655,721.0665184051472,712.2672238203879,714.4075927734375,10695842
2021-07-11 18:30:00,714.4075115847763,714.4075115847763,705.8460367455447,707.27294921875,14458978
