Date,Open,High,Low,Close,Volume
2021-05-04 18:30:00,2238.3196201737965,2238.3196201737965,2178.2233154226637,2202.133056640625,1256857
2021-05-05 18:30:00,2207.053232871339,2222.272749025627,2185.94833123462,2197.857177734375,1377740
2021-05-06 18:30:00,2215.145819762062,2229.1237787526165,2204.432280754524,2217.352783203125,1169518
2021-05-09 18:30:00,2228.2038577812814,2250.22836194754,2221.7666200576045,2237.307861328125,988495
2021-05-10 18:30:00,2230.0432503215266,2230.9628557855767,2201.765382301985,2208.984375,1019077
2021-05-11 18:30:00,2196.937440581824,2196.937440581824,2138.128716407328,2141.715087890625,2053932
2021-05-13 18:30:00,2141.6691413282538,2190.868035168969,2139.002375205663,2185.764404296875,1388970
2021-05-16 18:30:00,2193.2589498536954,2202.455004150776,2176.2462494040965,2185.21240234375,811243
2021-05-17 18:30:00,2208.98439320572,2214.7319274034026,2176.6601261701207,2183.373291015625,1153722
2021-05-18 18:30:00,2170.2687197068017,2188.660827500927,2155.555033471501,2170.038818359375,1323590
2021-05-19 18:30:00,2170.268706235332,2172.107917003328,2151.8765985553714,2155.69287109375,856235
2021-05-20 18:30:00,2151.8766701502805,2175.924261936701,2151.8766701502805,2172.337890625,771492
2021-05-23 18:30:00,2165.670530689643,2170.222532125432,2138.3122723932447,2148.703857421875,1194864
2021-05-24 18:30:00,2165.670953687283,2179.281159997357,2150.0376601787125,2155.601318359375,1098457
2021-05-25 18:30:00,2166.360774556357,2179.6490298521244,2156.704916280716,2164.75146484375,811095
2021-05-26 18:30:00,2163.8319599023357,2163.8319599023357,2136.15174175326,2139.370361328125,3755182
2021-05-27 18:30:00,2145.761144011745,2161.072482647424,2132.886669647037,2135.047607421875,1215325
2021-05-30 18:30:00,2138.082259024533,2156.474364478508,2133.622083646742,2151.92236328125,1178704
2021-05-31 18:30:00,2158.3139799724563,2173.0276670962567,2143.2325404757803,2168.70556640625,1141451
2021-06-01 18:30:00,2166.590830857478,2182.821780171357,2161.073197162595,2169.165771484375,1113091
2021-06-02 18:30:00,2178.5450549346106,2180.4302907880874,2156.474526729279,2173.25732421875,868532
2021-06-03 18:30:00,2179.46489000303,2179.46489000303,2146.313069030966,2153.761962890625,1283795
2021-06-06 18:30:00,2164.7510643385103,2164.7510643385103,2143.600140600284,2151.23291015625,1128300
2021-06-07 18:30:00,2151.232939762552,2172.1079372714867,2147.416442675528,2169.34912109375,1106664
2021-06-08 18:30:00,2172.108209218153,2181.258239117285,2157.026768696885,2166.590576171875,1072858
2021-06-09 18:30:00,2173.947653451278,2207.0074300975493,2165.901104395568,2187.557861328125,1944339
2021-06-10 18:30:00,2189.5806171635654,2196.523683342776,2170.268902354479,2176.246337890625,1128097
2021-06-13 18:30:00,2184.4896778788257,2199.958387931969,2164.2974075720417,2190.232666015625,1761632
2021-06-14 18:30:00,2185.97197815304,2218.3910541002247,2185.97197815304,2215.56591796875,1215463
2021-06-15 18:30:00,2209.128594658817,2240.4825647487182,2207.87805405588,2230.33984375,2153668
2021-06-16 18:30:00,2221.169971944579,2247.0125179437964,2210.425272784576,2239.417236328125,1555777
2021-06-17 18:30:00,2241.5472256620924,2312.591259859503,2227.653337899724,2299.808837890625,3937751
2021-06-20 18:30:00,2291.5191737565333,2342.509793977499,2285.081716782321,2328.940185546875,2506277
2021-06-21 18:30:00,2332.4138459471405,2347.0949215050528,2298.6515104810155,2306.617431640625,1945883
2021-06-22 18:30:00,2311.01669585265,2328.615620590607,2276.93031218532,2297.5859375,1035668
2021-06-23 18:30:00,2306.3855656280107,2320.094247952419,2291.658133796476,2306.5244140625,759681
2021-06-24 18:30:00,2304.532862197859,2306.3390223888828,2264.703717071449,2268.08447265625,1112942
2021-06-27 18:30:00,2269.4281193910674,2283.2292932236933,2257.571954507064,2278.783203125,694906
2021-06-28 18:30:00,2273.966959156118,2313.332985943953,2264.704364617804,2308.748046875,1354397
2021-06-29 18:30:00,2308.747707768522,2320.27959104742,2281.376699700517,2289.064697265625,1447245
2021-06-30 18:30:00,2300.828308253253,2300.828308253253,2281.3768612028034,2295.270751953125,735043
2021-07-01 18:30:00,2295.270509043941,2308.886475310765,2271.1877676254007,2303.884765625,860231
2021-07-04 18:30:00,2314.7221964908736,2328.0602411416858,2301.80092333461,2314.7685546875,761700
2021-07-05 18:30:00,2306.385808344919,2313.749525035621,2286.9343617685163,2290.17626953125,461782
2021-07-06 18:30:00,2276.745666384452,2307.1270207484195,2265.4917048270363,2298.651611328125,623145
2021-07-07 18:30:00,2280.635771399949,2287.62907485812,2258.637111402832,2267.066162109375,1114426
2021-07-08 18:30:00,2260.072356333281,2282.7657058128566,2258.6366094040136,2270.677978515625,538094
2021-07-11 18:30:00,2272.113988899275,2278.5050874061126,2250.810025693126,2263.91650390625,543898
2021-07-12 18:30:00,2273.9669505906536,2274.476438515854,2250.810464332093,2257.016357421875,994396
2021-07-13 18:30:00,2259.887714541708,2261.323461829811,2231.3588799811064,2236.777587890625,1377829
2021-07-14 18:30:00,2246.178759386968,2246.178759386968,2223.9485366136537,2234.461669921875,693792
2021-07-15 18:30:00,2241.5475248114712,2250.810117889205,2228.5798945026445,2239.13916015625,545405
2021-07-18 18:30:00,2223.068972616286,2238.7690246031,2221.6332252836305,2231.03466796875,463873
2021-07-19 18:30:00,2225.801052204124,2278.597831220202,2225.801052204124,2255.3486328125,1061476
2021-07-21 18:30:00,2269.33526792488,2323.0583069206527,2200.328950594103,2202.783447265625,3546044
2021-07-22 18:30:00,2206.349418528928,2215.380445745828,2181.062497094106,2184.2119140625,1517589
2021-07-25 18:30:00,2183.424934058537,2185.9721473658497,2165.5944409073545,2175.50537109375,1311535
2021-07-26 18:30:00,2175.505401305754,2185.462689827162,2160.03691459768,2169.669921875,1656945
2021-07-27 18:30:00,2176.709532402551,2193.7989726528413,2170.318433166684,2187.268798828125,912373
2021-07-28 18:30:00,2187.26870522038,2196.531298578877,2158.1842525297143,2162.583984375,1012663
2021-07-29 18:30:00,2167.446859157554,2182.776496487222,2147.0691536441072,2161.240966796875,1708251
2021-08-01 18:30:00,2169.2991276221856,2179.858392442542,2153.182307393745,2160.777587890625,1229936
2021-08-02 18:30:00,2158.184349101901,2216.5386898716088,2154.57202798546,2210.84228515625,1733476
2021-08-03 18:30:00,2210.8423083201424,2218.1596670224376,2192.9654569234995,2201.811279296875,1588974
2021-08-04 18:30:00,2214.685785717695,2214.685785717695,2180.414194721646,2183.84130859375,921757
2021-08-05 18:30:00,2183.8413566060394,2205.1916772342547,2183.6561499862464,2196.623779296875,1432661
2021-08-08 18:30:00,2203.987384924425,2218.390760559734,2199.726728331945,2208.6650390625,921476
2021-08-09 18:30:00,2217.464869550617,2217.464869550617,2185.1385088998186,2206.16455078125,1061370
2021-08-10 18:30:00,2213.759986306187,2218.3912833486684,2188.009929522479,2214.1767578125,1300594
2021-08-11 18:30:00,2218.391235981406,2235.5270346727034,2202.135338481883,2215.890380859375,1226064
2021-08-12 18:30:00,2223.948766005959,2231.9608191685807,2211.907394095056,2227.190673828125,1033159
2021-08-15 18:30:00,2226.7274670489637,2257.1551770100336,2216.2143330203194,2247.4755859375,1146309
2021-08-16 18:30:00,2253.5892843715305,2304.02406714814,2251.783123637464,2300.643310546875,1921902
2021-08-17 18:30:00,2301.754189220495,2315.6480776866147,2273.040153057181,2302.726806640625,1545643
